,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,1958,TRON,TRX,tron,1006,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86975923026.99881,86975926157.14122,True,,11,71659659264.0,9275273703.31437,,2024-08-14T04:17:00.000Z,0.12943507963306813,257053358.05153415,-9.7576,0.17055984,2.82231052,3.99644002,-6.37264813,11.17027391,3.98374962,11257735523.159195,0.5261,11257735928.31,,2024-08-14T04:17:00.000Z,,,,,,2024-08-13 23:45:11.114379
11,5805,Avalanche,AVAX,avalanche,761,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,395335973.8217392,444682343.8217392,False,,12,,,,2024-08-14T04:17:00.000Z,21.33715820873844,177330385.9621871,-27.5605,-0.02648001,2.71859355,-0.37524217,-20.44765739,-29.68219337,-38.84380896,8435346219.040128,0.3942,15272043655.0,,2024-08-14T04:17:00.000Z,,,,,,2024-08-13 23:45:11.114379
12,5994,Shiba Inu,SHIB,shiba-inu,855,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270363148840.4,589519075248301.8,False,,13,,,,2024-08-14T04:17:00.000Z,1.3819042997561603e-05,159240237.48350453,-34.0466,-0.111425,1.31725291,0.38992245,-23.18921211,-32.86853163,-45.00501161,8143152485.542565,0.3806,8146589448.74,,2024-08-14T04:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-08-13 23:45:11.114379
13,1831,Bitcoin Cash,BCH,bitcoin-cash,909,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19746637.5,19746637.5,False,,14,,,,2024-08-14T04:17:00.000Z,348.17359719724817,213324197.7717569,-36.8918,-0.40228162,0.5021043,7.07194304,-9.83938619,-18.46491095,-24.10251535,6875257810.925076,0.3213,7311645541.14,,2024-08-14T04:17:00.000Z,,,,,,2024-08-13 23:45:11.114379
14,6636,Polkadot,DOT,polkadot-new,798,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1480807964.8530235,1480807964.8530235,True,,15,1480807964.8520236,6710167661.210622,,2024-08-14T04:17:00.000Z,4.531423263840403,102345978.72276816,-14.9858,0.32462149,0.56219265,-1.20158839,-30.32826348,-26.51831018,-35.01822266,6710167661.215153,0.3136,6710167661.22,,2024-08-14T04:17:00.000Z,,,,,,2024-08-13 23:45:11.114379
15,1,Bitcoin,BTC,bitcoin,11631,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19739640.0,19739640.0,False,,1,,,,2024-08-14T04:34:00.000Z,61135.85270842751,29189764460.18009,-21.0557,-0.03601333,3.25943855,6.84295989,-2.30511168,-7.62650545,-7.24474838,1206799723557.384,56.3264,1283852906876.98,,2024-08-14T04:34:00.000Z,,,,,,2024-08-13 23:45:11.114379
16,1027,Ethereum,ETH,ethereum,9206,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120274778.264,120274778.264,True,,2,,,,2024-08-14T04:33:00.000Z,2715.003035514776,14933371651.143047,-32.1281,-0.25203306,1.98513634,7.42312431,-18.60296199,-22.41944275,-9.81859399,326546388082.6266,15.2595,326546388082.63,,2024-08-14T04:33:00.000Z,,,,,,2024-08-13 23:45:11.114379
17,825,Tether USDt,USDT,tether,94066,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,115638558844.54697,117068077122.29233,True,,3,,,,2024-08-14T04:33:00.000Z,1.0004087248937672,49226521101.639275,-22.5382,-0.01309589,0.00327802,-0.02785895,-0.02781842,0.07527142,0.01356111,115685823202.22609,5.4032,117115925759.68,,2024-08-14T04:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-08-13 23:45:11.114379
18,1839,BNB,BNB,bnb,2207,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145936397.5436491,145936397.5436491,False,,4,,,,2024-08-14T04:33:00.000Z,526.8517278926136,1719484344.6788836,-4.1314,0.13385184,1.7555942,6.18596763,-4.97530482,-12.93335021,-9.73239182,76886843208.29489,3.591,76886843208.29,,2024-08-14T04:33:00.000Z,,,,,,2024-08-13 23:45:11.114379
19,5426,Solana,SOL,solana,715,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,466841549.5831935,582263612.8125762,True,,5,,,,2024-08-14T04:33:00.000Z,145.1001008785419,2146814098.3399224,-36.118,-0.32200599,0.40187548,-5.65805283,-4.15752833,0.52552682,-10.92656172,67738755938.81619,3.1638,84486508957.01,,2024-08-14T04:33:00.000Z,,,,,,2024-08-13 23:45:11.114379
